subset_size,r2_value,test_accuracy,test_loss,sst2_loss,sst2_accuracy,tweet_eval_loss,tweet_eval_accuracy,yelp_loss,yelp_accuracy,mean_odd_accuracy,mean_odd_loss
2500,0.8272682448702291,0.84924,0.3549751937389374,0.39839571714401245,0.8163892559651962,0.6919813752174377,0.589605992941007,0.30905333161354065,0.878421052631579,0.7614721005125941,0.46647680799166363
5000,0.8329923889417082,0.86464,0.3151463568210602,0.35587507486343384,0.8508812306047603,0.7212967872619629,0.6050205287041706,0.28747236728668213,0.8839473684210526,0.7799497092433277,0.4548814098040263
7500,0.834808019959378,0.87212,0.309031218290329,0.3778497576713562,0.8384682771830316,0.6927780508995056,0.6082619030468919,0.281490296125412,0.8859736842105264,0.7775679548134833,0.45070603489875793
10000,0.8358120781610308,0.87452,0.2919221818447113,0.3407000005245209,0.8588249268734502,0.6395891308784485,0.648238853273788,0.27516573667526245,0.885421052631579,0.7974949442596059,0.41848495602607727
12500,0.8362988372744733,0.87344,0.298308789730072,0.3532305955886841,0.8449123223804362,0.7036176919937134,0.6335446229201182,0.3160072863101959,0.8608947368421053,0.7797838940475531,0.45761852463086444
15000,0.8366101060330036,0.88776,0.2910977303981781,0.3845840096473694,0.8380970764228125,0.6034090518951416,0.711301591874955,0.3062640428543091,0.8653421052631579,0.804913591186975,0.43141903479894
17500,0.836960301184997,0.87796,0.2845411002635956,0.3993229568004608,0.8023875632897296,0.5337518453598022,0.7586616725491608,0.32796013355255127,0.8463947368421053,0.8024813242269985,0.4203449785709381
20000,0.8371864863096644,0.86952,0.29527366161346436,0.3429400324821472,0.8527075383450385,0.7574337720870972,0.5543830584167687,0.30291876196861267,0.8772105263157894,0.7614337076925323,0.46776418884595233
22500,0.837203001344333,0.8856,0.2719684839248657,0.3405478000640869,0.8493221874118398,0.7447786927223206,0.5537707988186992,0.30692481994628906,0.8711842105263158,0.7580923989189516,0.46408377091089886
25000,0.8375351707573807,0.87224,0.2976611256599426,0.3282761871814728,0.8596415685459324,0.6633706092834473,0.6278181949146439,0.3023315668106079,0.8791578947368421,0.7888725527324728,0.43132612109184265
